"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1126","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Só um minutinho, Senador Randolfe. Há pouco, eu fui conversar com o Deputado Luis Miranda, chamei outros membros da CPI. O Senador Fernando Bezerra estava junto e o Senador Marcos do Val. E fiz questão que tivesse testemunha da minha conversa com ele, para que depois não pairasse dúvida de que eu o tinha induzido. O Senador Fernando Bezerra até conversou muito mais com ele do que eu propriamente dito. O que ele diz é que esse áudio é de 2020, que é uma negociação nos Estados Unidos, não tem nada a ver com o Brasil, é um áudio em que nem se falava em vacinas ainda, e que está editado aqui pra prejudicá-lo. Ele foi agora à polícia levar o áudio completo, fazer uma denúncia crime e irá dispor pra gente a edição do áudio. Está certo? Que ele, a testemunha aqui neste momento, fala até no irmão. Ele é que fala no irmão. Quer dizer, V. Exa. foi induzido a falar até no irmão do Deputado. "
"1127","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Exatamente. "
"1128","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Porque V. Exa... A gente tentou ouvir várias vezes. Eu só estou aqui contando pra V. Exa. o que se passou lá na sala. "
"1129","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Sem dúvida. "
"1130","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O resto é problema do Deputado Luis Miranda e é problema do Dominguetti. Não é problema meu. O nosso problema aqui... Ele está aqui hoje não é pra falar do Luis Miranda. Ele está aqui hoje pra falar da denúncia que ele fez, da propina que foi pedida pra vender a vacina. É isso. "
"1131","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Corretamente, Presidente. "
"1132","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Está certo? Então, vamos lá. "
"1133","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Sr. Presidente, só para... "
"1134","30","2021-07-01","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Presidente, eu sou o próximo inscrito. Só que antes, uma questão de ordem se V. Exa. me permitir para... "
"1135","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Na sequência, Presidente. "
"1136","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fora do microfone.)","PSD","AM","Fora do microfone","Pode falar, Senador. "
"1137","30","2021-07-01","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Pela ordem.)","Bloco Parlamentar Senado Independente","REDE","AP","Pela ordem","Uma questão de ordem. Na circunstância em que estava na Presidência, na vossa ausência, quando V. Exa. estava conduzindo outra diligência, o Relator Renan Calheiros requisitou e, no exercício da Presidência, determinei a apreensão do celular do Sr. Luiz Paulo Dominguetti Pereira. Para fazermos o procedimento correto, sob pena de nulidade do Supremo Tribunal Federal em seguida, eu recomendo, sugiro a V. Exa. que, primeiro, preparemos um termo circunstanciado de apreensão, façamos o registro na presença do senhor depoente e do seu advogado. Apresente onde o celular está e, logo em seguida, faça o lacre, em envelope, do celular na frente do senhor depoente e na frente do seu advogado. Então, só para não termos nenhum risco de nulidade desta obtenção de prova que foi requisitada pelo Sr. Relator nesse procedimento. "
"1138","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Sr. Presidente... "
"1139","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","É importante... É importante, Senador Randolfe... "
"1140","30","2021-07-01","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Bloco Parlamentar Unidos pelo Brasil","MDB","PE","","Sr. Presidente... Sr. Presidente... "
"1141","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Pela ordem, Presidente. "
"1142","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pela ordem, é o Senador Marcos Rogério. Depois, V. Exa. "
"1143","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Pela ordem, Presidente. "
"1144","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O Senador Marcos Rogério, primeiro; o Senador Fernando Bezerra; e a Senadora Eliziane. "
"1145","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Pela ordem, Presidente.         "
"1146","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Não, Sr. Presidente, só para fazer um registro, porque foi feita aqui uma acusação em relação ao depoente do dia hoje, deixando no ar suspeição. Eu queria fazer um registro que o depoente está aqui em razão de notícias que foram veiculadas, e a convocação dele foi feita pelos Senadores Alessandro, Humberto, Renan e Randolfe; não foi a base do Governo que convocou o Sr. Luiz Paulo. "
"1147","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Mas a dúvida não é essa... Se a base... "
"1148","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Não é porque foi feita uma acusação aqui. "
"1149","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","A dúvida não é essa. É porque quem convocou não está defendendo, está defendendo exatamente quem não convocou. "
"1150","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Não, V. Exa. se engana... "
"1151","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","A pergunta de todo mundo é: por que o Governo está defendendo tanto o depoente? A pergunta é essa. "
"1152","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Eu estou defendendo aqui a Polícia Federal, Senador Renan, só a Polícia Federal. "
"1153","30","2021-07-01","ALESSANDRO VIEIRA","(Bloco Parlamentar Senado Independente/CIDADANIA - SE)","Bloco Parlamentar Senado Independente","CIDADANIA","SE","","Só para registrar... "
"1154","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Não, o depoente, não. "
"1155","30","2021-07-01","ALESSANDRO VIEIRA","(Bloco Parlamentar Senado Independente/CIDADANIA - SE)","Bloco Parlamentar Senado Independente","CIDADANIA","SE","","Sr. Presidente, só para deixar registrado... "
